CÓDIGO,NOMBRE,CREDITOS,TIPO
FRA102,IDIOMA FRANCES APLICADO,3,ESPECIALIZACIÓN
GAC100,GASTRONOMIA 1,4,ESPECIALIZACIÓN
GAC101,GASTRONOMIA I,4,ESPECIALIZACIÓN
GAC102,HISTORIA DE LA GASTRONOMÍA,4,ESPECIALIZACIÓN
GAC119,PLANIFICACIÓN DE MENU Y CARTA DE LICORES,5,ESPECIALIZACIÓN
GAC120,COSTOS ALIMENTICIOS,4,ESPECIALIZACIÓN
GAC121,GASTRONOMÍA   2,4,ESPECIALIZACIÓN
GAC122,GASTRONOMIA ASIATICA,4,ESPECIALIZACIÓN
GAC123,GASTRONOMIA EUROPEA,4,ESPECIALIZACIÓN
GAC126,SAUCERIE FRIAS Y CALIENTES,4,ESPECIALIZACIÓN
GAC127,COCINA ESPAÑOLA,4,ESPECIALIZACIÓN
GAC128,COMIDAS RAPIDA,4,BÁSICA
GAC129,COCINA VEGETARIANA,4,ESPECIALIZACIÓN
GAC130,COCINA ECUATORIANA,4,BÁSICA
GAC131,PRODUCCIÓN DE COMIDA FRIA,4,ESPECIALIZACIÓN
GAC132,COMIDAS RÁPIDAS,4,ESPECIALIZACIÓN
GAC133,COCINA ITALIANA,4,BÁSICA
GAC145,PASTELERÍA Y REPOSTERIA,4,ESPECIALIZACIÓN
GAC200,COCTELERÍA,4,ESPECIALIZACIÓN
GAC201,CATERING,4,ESPECIALIZACIÓN
GAC203,SERVICIO DE COMEDOR Y CATERING,4,BÁSICA
GAC210,GASTRONOMIA ECUATORIANA,4,ESPECIALIZACIÓN
GAC223,COCINA DE LAS AMÉRICAS,4,ESPECIALIZACIÓN
GAC300,TÉCNICAS CULINARIAS I,4,BÁSICA
GAC301,INTRODUCCION A LA TECNOLOGIA CULINARIA,4,BÁSICA
GAC302,TECNICAS CULINARIAS II,4,ESPECIALIZACIÓN
GAC303,ARTES CULINARIAS,4,ESPECIALIZACIÓN
GAC308,GARNISH,4,ESPECIALIZACIÓN
GAC309,COCTELERIA Y GARNISH DE BARES,4,ESPECIALIZACIÓN
GAC310,DECORACION GASTRONOMICA GARNISH,4,ESPECIALIZACIÓN
GAC311,MONTAJE Y BANQUETES,4,ESPECIALIZACIÓN
GAC320,PRODUCCION Y DECORACION DE CAKES,4,BÁSICA
GAC321,PRODUCTOS DEL MAR,4,ESPECIALIZACIÓN
GER020,FUNDAMENTOS DE ADMINISTRACION,4,BÁSICA
GER050,PRE-ADMINISTRACIÓN,1,BÁSICA
GER105,INTRODUCCION A LA ADMINISTRACION,4,ESPECIALIZACIÓN
GER106,ADMINISTRACION,4,BÁSICA
GER107,AUTOGESTION DE PEQUEÑAS EMPRESAS,4,BÁSICA
GER108,CONTRATACIÓN SEG. ADM. PÚBLICA,4,ESPECIALIZACIÓN
GER109,TECNICAS DE COMERCIO EXTERIOR I,4,BÁSICA
GER151,MATEMATICAS PARA NEGOCIOS,4,BÁSICA
GER166,TECNICAS DE COMERCIO EXTERIOR II,4,BÁSICA
GER167,TECNICAS DE COMERCIO EXTERIOR III,4,BÁSICA
GER176,REGIMEN DE COMERCIO EXTERIOR,4,BÁSICA
GER180,CREDITOS DOCUMENTARIOS Y SEGUROS,4,ESPECIALIZACIÓN
GER209,NOMENCLATURA ADUANERA & TÉCNICAS III,4,BÁSICA
GER220,RELACIONES PUBLICAS Y HUMANAS,4,BÁSICA
GER231,PROYECTOS,4,BÁSICA
GER240,COMERCIO EXTERIOR,4,BÁSICA
GER244,ETICA EMPRESARIAL,4,BÁSICA
GER245,PLANIFICACIÓN TERRITORIAL,3,ESPECIALIZACIÓN
GER251,ADMINISTRACION DE RECURSOS HUMANOS,4,BÁSICA
GER252,CALIDAD EN LAS EMPRESAS,4,ESPECIALIZACIÓN
GER253,GESTION DE CALIDAD,4,BÁSICA
GER254,DIRECCION Y LIDERAZGO,4,BÁSICA
GER255,CONCILIACIÓN Y ARBITRAJE,4,ESPECIALIZACIÓN
GER256,RECURSOS HUMANOS,4,BÁSICA
GER261,GERENCIA,4,BÁSICA
GER262,NEGOCIACIÓN INTERNACIONAL,4,BÁSICA
GER267,DOCUM IMP. EXP. & COSTOS DE IMPORTACIONES,4,BÁSICA
GER268,TECNICAS DE COMERCIO IV,4,BÁSICA
GER269,COMERCIO INTERNACIONAL,4,BÁSICA
GER270,GERENCIA DE EXPORTACIONES,4,ESPECIALIZACIÓN
GER277,GERENCIA DE LA PRODUCCION,4,BÁSICA
GER280,MECANISMO INTEGRACION REGIONAL,4,ESPECIALIZACIÓN
GER283,ORGANIZACION Y METODOS EMPRESARIALES,4,BÁSICA
GER286,COMPORTAMIENTO ORGANIZACIONAL/ORGANIZATIONAL BEHAVIOR,4,BÁSICA
